ID,Texto,Usuario,UbicaciónUsuario,Geolocalización
1.41772E+18,@la_zuluaga19 Y vos cómo le decís pues.??,waltherpatinog1,,TRUE
1.41765E+18,@PaisSinMemoria_ Saque pues las pruebas!! No pues que no es fake... Si conoce tanto hable... Pareces mas una cuenta de @QuinteroCalle que realmente una persona de derecha... Ahora creo que serás un infiltrado torcido y el de los intereses demas que sos vos?? Algun contrato de por medio o que??,daniel71371,"Medellín, Colombia",TRUE
1.41754E+18,@petrogustavo Y odio a toda la guerrilla y dicidencias que vos apoyas y con la que estás de acuerdo de todos los actos criminales que hacen y siguen haciendo. Cómo la ves pues??,patycal726,Medellín Colombia,FALSE
1.41749E+18,@DanielSamperO Vos si publicas guevonadas... Ponete serio pues,annybetancur,"Medellín, Colombia",TRUE
1.41747E+18,@AABenedetti ¿Pero qué garantías va a tener un hampón como vos? ¡No se puede defender lo indefendible! ¿Cómo va uno a decir que 3 mil millones son pa mecatiarselos en cositas en la playa? Hay que ser muy tetrahijueputa pues!,JCRmontoya,"Medellín, Colombia",TRUE
1.41724E+18,Amiguisss....te cogieron?....pues no sé quien sos vos.  Esto es Goooolooombiiiiaaa https://t.co/mAxiW7GJ5N https://t.co/FPkHoBbjmc,OtaloraHectorMD,,TRUE
1.41722E+18,Quien les habrá contado que la definición de demostrar interés es estar insistiendo todos los dias. Yo con una sola vez que diga que X dia quiero salir con vos y llegue ese dia y esa persona lo sepa y no diga nada esperando a que yo lo vuelva a decir. Estamos es en nada pues,J_OrozcoD,Medellin - Colombia,TRUE
1.4172E+18,@leotorres1210 @smilelalis No pues tan varona vos loca.,GMLUI,Medellin,FALSE
1.41719E+18,"@dannybalanta @dellucieee @CaiVirtual Viejo, nuevamente te digo, estas diciendo bobadas pues!! La negrita me ah tratado super mal, con palabras muy soeces y vos diciendo que no le diga ""negra"" inclusive cuando no lo hago despectivamente. ""Vaya a que lo piche un burro amigo!! Me la volaste!",A13xDuke,"Medellín, Colombia",FALSE
1.41718E+18,"@Qu3_visAje @Sr__Convencido @luciagalindo197 @UnivalleU @petrogustavo @DiazCanelB @DavidRacero @PizarroMariaJo @angelamrobledo @FelicianoValen @YoAlejoV @JUANCAELBROKY @humana_valle @CathyJuvinao Pues por eso le digo, si usted opina así, es porque vos sos un delincuente, así de sencillo.
Para usted la autoridad quien es? La primera línea jajajaja jajajaja jajajaja jajajaja",SantanaS043,"Antioquia, Colombia",TRUE
