Texto,Usuario,Column3,Column4
@Juandiegogj @yairton13 Severa rata sos vos.,juanbedoya73,Medellín,TRUE
"@krlostorres14 Acaray eso si me interesa jajajaja

Porque seria un privilegio con papasito como vos me. Muero jajajaja ????",javy1802,"Medellín, Colombia",FALSE
@IvanDuque Y vos cuando has debatido cobarde inepto... te escondes en las faldas del material!!!!,elkintamayo1000,"Medellín, Colombia",TRUE
Te imaginás vos y yoooooo??? Mmmmmmmmm,Madeaguirre97,"Medellín, Colombia",TRUE
"Oh González que grande sos vos ??????
¡Feliz cumpleaños Ídolo! @DavidGonzalezGi https://t.co/gQ87OcbwvY",AlejaM1913,Medellín - Colombia,TRUE
@albanessss @IratiPratSC Jajajaja vos y cuantos más?????????,FELIPEDELRIO6,"Medellín, Colombia",FALSE
@Manuler Y vos para que ves eso? Que pereza esa vieja.,tomyko79,Medellín,TRUE
"@BlyatHenry Vos te vas a morir por eso viendo todos los Didis que nos he pagado, que te he invitado a mandingas, te guardo la cicla en mi parqueadero, le doy agua a Dante, te doy arepa santandereana y hamburguesas",andrea_calfr,"Medellín, Colombia",FALSE
@Curioso21636197 Q Riko de buena amanecer así con vos ufff Melo,ArturoM83979090,"Medellín, Colombia",FALSE
"@boravk Vote por el primero jajaja me gusta leer cosas asi y no me incomodan, espero a vos tampoco, pero ñara que es privatte no se. ??",Jaeseumin_07,En mi casita ,FALSE
"@Your_love_com Si, y vos?",Santiagoo_lc,"Antioquia, Colombia",TRUE
"Lo que es pa vos, te encuentra!",Sarah_olave,"Medellín, Colombia",FALSE
"DÍA PATRIO 

Cumple años el ídolo más grande de una institución de más de 100 años. 

Te amamos @DavidGonzalezGi, que seas tan feliz como nosotros con vos.

Próximo DT del Poderoso.

¡FELIZ CUMPLEAÑOS, ÍDOLO! 

?????? https://t.co/TVGfKuKgrM",MundoDIM,"Medellín, Colombia",FALSE
"@PalomaValenciaL Mami, pero si les están gritando la verdad, son asesinos como el sicópata de tu abuelo. Dejá la cismatiquería que la fuerza pública, vos y tu partidos no son más que una caterva de malparidos que llevan 3 años legislando a favor de una minoría de zánganos a la que pertenecés.",juanbedoya73,Medellín,TRUE
"@petrogustavo Acá estamos cagados, pero vos has vivido de la teta del estado por elección popular: alcalde, consejal, senador. ¿Quien te ha elegido?",juanpagarcia135,medellin,FALSE
